"";"dummy";"Species";"chao";"chao.se";"jack1";"jack1.se";"jack2";"boot";"boot.se";"n";"mid_lat";"chao_upper";"chao_lower";"jack1_upper";"jack1_lower"
"42";42;59;96,0588235294118;16,4450494042556;94;7,70101003476528;112,403174603175;74,4617293510222;3,5747264077878;36;46,499999995;128,291120361753;63,8265266970709;109,09397966814;78,90602033186
"43";43;114;136,18201754386;8,33101754708648;163,583333333333;9,93788579498044;159,454761904762;140,012263093946;5,87911954457099;36;49,499999995;152,510811936149;119,85322315157;183,061589491495;144,105077175172
"44";44;55;58,8888888888889;5,1550047598498;58,8888888888889;1,94444444444444;60,831746031746;57,4754770583566;1,73314339251885;36;52,499999995;68,9926982181945;48,7850795595833;62,7;55,0777777777778
"45";45;103;123,572222222222;8,11405992820601;147,722222222222;9,2875032193471;145,293650793651;126,377303661126;5,63755959930128;36;55,499999995;139,475779681506;107,668664762938;165,925728532143;129,518715912302
"46";46;50;62,7714646464647;8,12271942524643;66,5277777777778;4,46738869233415;72,4912698412699;58,1510649464016;2,788041997844;36;58,499999995;78,6919947199477;46,8509345729816;75,2838596147527;57,7716959408028
"47";47;50;70,4409722222222;9,94810660692239;78,1944444444444;6,40487131355579;87,234126984127;63,1171451661643;3,02492991579913;36;61,499999995;89,9392611717901;50,9426832726543;90,7479922190138;65,6408966698751
"48";48;9;21,1527777777778;16,673175812264;13,8611111111111;2,1739549781248;17,665873015873;11,072134995395;1,11248826344343;36;64,499999995;53,8322023698153;-11,5266468142597;18,1220628682357;9,60015935398651
"49";49;21;22,2152777777778;1,59514508657433;25,8611111111111;2,58273589268396;21,4087301587302;24,3234887565975;1,60020416530283;36;67,499999995;25,3417621474635;19,0887934080921;30,9232734607717;20,7989487614505
"50";50;51;84,6538461538462;16,4859436317679;80,1666666666667;6,32638507744732;96,5730158730159;63,8617059935492;2,98614293914882;36;70,499999995;116,966295672111;52,3413966355811;92,5663814184634;67,7669519148699
"51";51;9;14,8333333333333;6,31356564162527;14,8333333333333;2,3814483610392;17,747619047619;11,5595014421162;1,22366188915049;36;73,499999995;27,2079219909189;2,4587446757478;19,5009721209702;10,1656945456965
"52";52;23;77,6875;48,4517788093654;37,5833333333333;5,79850715143003;49,9150793650794;28,7435292712874;2,86927533934096;36;76,499999995;172,652986466356;-17,2779864663561;48,9484073501362;26,2182593165305
"53";53;39;51,1527777777778;7,13592354241837;58,4444444444444;4,77422348414307;62,6539682539683;48,4289917093701;2,6776385296045;36;79,499999995;65,1391879209178;37,1663676346378;67,8019224733649;49,086966415524
"54";54;1;1;0;1;0;0,0825396825396825;1,12774708115793;0,333807975359429;36;82,499999995;1;1;1;1
